SubjectID,Condition,TravelType,Level,Pass,ResponseTime,#InitIncorrectSwitch,#InitIncorrectWalking,#InitIncorrectSegway,#InitIncorrectSurfing,#IncorrectSwitch,#IncorrectWalking,#IncorrectSegway,#IncorrectSurfing
17,1,1,3,0,1.159393,3,3,0,0,0,0,0,0
17,1,1,3,1,1.221069,1,1,0,0,0,0,0,0
17,1,2,3,0,1.420303,7,7,0,0,0,0,0,0
17,1,2,3,1,2.041992,6,6,0,0,0,0,0,0
18,0,0,1,0,2.04039,0,0,0,0,0,0,0,0
18,0,0,1,1,1.381409,0,0,0,0,0,0,0,0
18,0,1,1,0,1.180206,0,0,0,0,0,0,0,0
18,0,1,1,1,0.9194946,0,0,0,0,0,0,0,0
18,0,2,1,0,0.8401947,0,0,0,0,0,0,0,0
18,0,2,1,1,1.601624,0,0,0,0,0,0,0,0
18,0,0,2,0,1.200302,0,0,0,0,0,0,0,0
18,0,0,2,1,0.8008423,0,0,0,0,0,0,0,0
18,0,1,2,0,1.459198,0,0,0,0,0,0,0,0
18,0,1,2,1,1.03952,0,0,0,0,0,0,0,0
18,0,2,2,0,1.040207,0,0,0,0,0,0,0,0
18,0,2,2,1,0.980896,0,0,0,0,0,0,0,0
18,0,0,3,0,1.140305,0,0,0,0,0,0,0,0
18,0,0,3,1,0.7207031,0,0,0,0,0,0,0,0
18,0,1,3,0,0.7796021,0,0,0,0,0,0,0,0
18,0,1,3,1,0.9208984,0,0,0,0,0,0,0,0
18,0,2,3,0,0.7601013,0,0,0,0,0,0,0,0
18,0,2,3,1,1.001038,0,0,0,0,0,0,0,0
19,1,0,1,0,1.040207,0,0,0,0,0,0,0,0
19,1,0,1,1,1.601563,0,0,0,0,0,0,0,0
19,1,1,1,0,0.5397034,0,0,0,0,2,2,0,0
19,1,1,1,1,0.9608765,2,2,0,0,2,2,0,0
19,1,2,1,0,0.759613,5,5,0,0,0,0,0,0
19,1,2,1,1,2.662476,57,57,0,0,0,0,0,0
19,1,0,2,0,1.659088,0,0,0,0,0,0,0,0
19,1,0,2,1,0.640686,0,0,0,0,0,0,0,0
19,1,1,2,0,0.6996765,1,1,0,0,21,21,0,0
19,1,1,2,1,2.922852,4,4,0,0,9,9,0,0
19,1,2,2,0,1.958893,6,6,0,0,0,0,0,0
19,1,2,2,1,1.661743,3,3,0,0,0,0,0,0
19,1,0,3,0,1.139313,0,0,0,0,0,0,0,0
19,1,0,3,1,0.6005859,0,0,0,0,0,0,0,0
19,1,1,3,0,1.379181,1,1,0,0,4,4,0,0
19,1,1,3,1,0.4804077,4,4,0,0,2,2,0,0
19,1,2,3,0,3.840805,59,59,0,0,0,0,0,0
19,1,2,3,1,1.521484,2,2,0,0,0,0,0,0
20,0,0,1,0,1.040207,0,0,0,0,0,0,0,0
20,0,0,1,1,0.9810181,0,0,0,0,0,0,0,0
20,0,1,1,0,2.018921,0,0,0,0,0,0,0,0
20,0,1,1,1,3.143127,0,0,0,0,0,0,0,0
20,0,2,1,0,2.518707,1,0,1,0,0,0,0,0
20,0,2,1,1,6.105957,3,0,3,0,0,0,0,0
20,0,0,2,0,6.361298,0,0,0,0,0,0,0,0
20,0,0,2,1,0.6607056,0,0,0,0,0,0,0,0
20,0,1,2,0,1.659119,0,0,0,0,0,0,0,0
20,0,1,2,1,1.761719,1,0,0,1,0,0,0,0
20,0,2,2,0,5.237091,0,0,0,0,0,0,0,0
20,0,2,2,1,1.561523,1,0,1,0,0,0,0,0
20,0,0,3,0,0.7601013,0,0,0,0,0,0,0,0
